departamento,anio,dia_semana,siniestros
AYACUCHO,2012,MIÉRCOLES,107
AYACUCHO,2012,JUEVES,110
AYACUCHO,2012,VIERNES,147
AYACUCHO,2012,SÁBADO,181
AYACUCHO,2012,DOMINGO,115
AYACUCHO,2013,LUNES,118
AYACUCHO,2013,MARTES,113
AYACUCHO,2013,MIÉRCOLES,129
AYACUCHO,2013,JUEVES,132
AYACUCHO,2013,VIERNES,179
AYACUCHO,2013,SÁBADO,225
AYACUCHO,2013,DOMINGO,165
AYACUCHO,2014,LUNES,150
AYACUCHO,2014,MARTES,147
AYACUCHO,2014,MIÉRCOLES,123
AYACUCHO,2014,JUEVES,149
AYACUCHO,2014,VIERNES,200
AYACUCHO,2014,SÁBADO,183
AYACUCHO,2014,DOMINGO,149
AYACUCHO,2015,LUNES,184
AYACUCHO,2015,MARTES,205
AYACUCHO,2015,MIÉRCOLES,167
AYACUCHO,2015,JUEVES,174
AYACUCHO,2015,VIERNES,258
AYACUCHO,2015,SÁBADO,279
AYACUCHO,2015,DOMINGO,149
AYACUCHO,2016,LUNES,114
AYACUCHO,2016,MARTES,120
AYACUCHO,2016,MIÉRCOLES,117
AYACUCHO,2016,JUEVES,138
AYACUCHO,2016,VIERNES,173
AYACUCHO,2016,SÁBADO,178
AYACUCHO,2016,DOMINGO,130
AYACUCHO,2017,LUNES,98
AYACUCHO,2017,MARTES,94
AYACUCHO,2017,MIÉRCOLES,106
AYACUCHO,2017,JUEVES,120
AYACUCHO,2017,VIERNES,131
AYACUCHO,2017,SÁBADO,172
AYACUCHO,2017,DOMINGO,125
AYACUCHO,2018,LUNES,81
AYACUCHO,2018,MARTES,71
AYACUCHO,2018,MIÉRCOLES,64
AYACUCHO,2018,JUEVES,81
AYACUCHO,2018,VIERNES,133
AYACUCHO,2018,SÁBADO,176
AYACUCHO,2018,DOMINGO,90
AYACUCHO,2019,LUNES,80
AYACUCHO,2019,MARTES,87
AYACUCHO,2019,MIÉRCOLES,86
AYACUCHO,2019,JUEVES,100
AYACUCHO,2019,VIERNES,119
AYACUCHO,2019,SÁBADO,131
AYACUCHO,2019,DOMINGO,98
AYACUCHO,2020,LUNES,45
AYACUCHO,2020,MARTES,36
AYACUCHO,2020,MIÉRCOLES,44
AYACUCHO,2020,JUEVES,64
AYACUCHO,2020,VIERNES,66
AYACUCHO,2020,SÁBADO,95
AYACUCHO,2020,DOMINGO,60
AYACUCHO,2021,LUNES,64
AYACUCHO,2021,MARTES,81
AYACUCHO,2021,MIÉRCOLES,79
AYACUCHO,2021,JUEVES,64
AYACUCHO,2021,VIERNES,74
AYACUCHO,2021,SÁBADO,77
AYACUCHO,2021,DOMINGO,47
AYACUCHO,2022,LUNES,60
AYACUCHO,2022,MARTES,66
AYACUCHO,2022,MIÉRCOLES,70
AYACUCHO,2022,JUEVES,77
