departamento,anio,tipo_siniestro,siniestros
ANCASH,2010,ATROPELLO,376
ANCASH,2010,ATROPELLO Y FUGA,89
ANCASH,2010,CHOQUE,869
ANCASH,2010,CHOQUE Y FUGA,282
ANCASH,2010,VOLCADURA,98
ANCASH,2010,CAIDA DE PASAJERO,40
ANCASH,2010,INCENDIO,3
ANCASH,2010,DESPISTE,9
ANCASH,2010,OTRO,180
ANCASH,2011,ATROPELLO,444
ANCASH,2011,ATROPELLO Y FUGA,70
ANCASH,2011,CHOQUE,971
ANCASH,2011,CHOQUE Y FUGA,285
ANCASH,2011,VOLCADURA,146
ANCASH,2011,CAIDA DE PASAJERO,73
ANCASH,2011,INCENDIO,5
ANCASH,2011,DESPISTE,0
ANCASH,2011,OTRO,273
ANCASH,2012,ATROPELLO,415
ANCASH,2012,ATROPELLO Y FUGA,84
ANCASH,2012,CHOQUE,1011
ANCASH,2012,CHOQUE Y FUGA,299
ANCASH,2012,VOLCADURA,126
ANCASH,2012,CAIDA DE PASAJERO,85
ANCASH,2012,INCENDIO,11
ANCASH,2012,DESPISTE,0
ANCASH,2012,OTRO,267
ANCASH,2013,ATROPELLO,514
ANCASH,2013,ATROPELLO Y FUGA,157
ANCASH,2013,CHOQUE,993
ANCASH,2013,CHOQUE Y FUGA,393
ANCASH,2013,VOLCADURA,73
ANCASH,2013,CAIDA DE PASAJERO,34
ANCASH,2013,INCENDIO,2
ANCASH,2013,DESPISTE,11
ANCASH,2013,OTRO,299
ANCASH,2014,ATROPELLO,344
ANCASH,2014,ATROPELLO Y FUGA,105
ANCASH,2014,CHOQUE,993
ANCASH,2014,CHOQUE Y FUGA,307
ANCASH,2014,VOLCADURA,64
ANCASH,2014,CAIDA DE PASAJERO,45
ANCASH,2014,INCENDIO,11
ANCASH,2014,DESPISTE,73
ANCASH,2014,OTRO,535
ANCASH,2015,ATROPELLO,201
ANCASH,2015,ATROPELLO Y FUGA,46
ANCASH,2015,CHOQUE,772
ANCASH,2015,CHOQUE Y FUGA,198
ANCASH,2015,VOLCADURA,41
ANCASH,2015,CAIDA DE PASAJERO,14
ANCASH,2015,INCENDIO,2
ANCASH,2015,DESPISTE,221
ANCASH,2015,DESPISTE Y VOLCADURA,49
ANCASH,2015,COLISION,3
ANCASH,2015,CHOQUE Y ATROPELLO,52
ANCASH,2015,OTRO,98
ANCASH,2016,ATROPELLO,219
ANCASH,2016,ATROPELLO Y FUGA,52
ANCASH,2016,CHOQUE,662
ANCASH,2016,CHOQUE Y FUGA,175
ANCASH,2016,VOLCADURA,26
ANCASH,2016,CAIDA DE PASAJERO,26
ANCASH,2016,INCENDIO,0
ANCASH,2016,DESPISTE,152
ANCASH,2016,CHOQUE Y ATROPELLO,19
ANCASH,2016,DESPISTE Y VOLCADURA,31
ANCASH,2016,COLISION,1
ANCASH,2016,OTRO,168
ANCASH,2017,ATROPELLO,340
ANCASH,2017,ATROPELLO Y FUGA,36
ANCASH,2017,CHOQUE,924
ANCASH,2017,CHOQUE Y FUGA,218
ANCASH,2017,VOLCADURA,43
ANCASH,2017,CAIDA DE PASAJERO,16
ANCASH,2017,INCENDIO,6
ANCASH,2017,DESPISTE,167
ANCASH,2017,CHOQUE Y ATROPELLO,11
ANCASH,2017,DESPISTE Y VOLCADURA,90
ANCASH,2017,COLISIÓN,5
ANCASH,2017,OTRO,117
ANCASH,2018,ATROPELLO,370
ANCASH,2018,ATROPELLO Y FUGA,51
ANCASH,2018,CHOQUE,841
ANCASH,2018,CHOQUE Y FUGA,228
ANCASH,2018,VOLCADURA,45
ANCASH,2018,CAIDA DE PASAJERO,29
ANCASH,2018,INCENDIO,1
ANCASH,2018,DESPISTE,284
ANCASH,2018,CHOQUE Y ATROPELLO,9
ANCASH,2018,DESPISTE Y VOLCADURA,59
ANCASH,2018,COLISIÓN Y FUGA,0
ANCASH,2018,COLISIÓN,4
ANCASH,2018,OTRO,140
ANCASH,2019,ATROPELLO,310
ANCASH,2019,ATROPELLO Y FUGA,36
ANCASH,2019,CHOQUE,966
ANCASH,2019,CHOQUE Y FUGA,173
ANCASH,2019,VOLCADURA,27
ANCASH,2019,CAIDA DE PASAJERO,33
ANCASH,2019,INCENDIO,3
ANCASH,2019,DESPISTE,211
ANCASH,2019,CHOQUE Y ATROPELLO,23
ANCASH,2019,DESPISTE Y VOLCADURA,42
ANCASH,2019,COLISIÓN Y FUGA,0
ANCASH,2019,COLISIÓN,1
ANCASH,2019,OTRO,504
ANCASH,2020,ATROPELLO,147
ANCASH,2020,ATROPELLO Y FUGA,32
ANCASH,2020,CHOQUE,544
ANCASH,2020,CHOQUE Y FUGA,106
ANCASH,2020,VOLCADURA,17
ANCASH,2020,CAIDA DE PASAJERO,10
ANCASH,2020,INCENDIO,0
ANCASH,2020,DESPISTE,144
ANCASH,2020,CHOQUE Y ATROPELLO,23
ANCASH,2020,DESPISTE Y VOLCADURA,28
ANCASH,2020,COLISIÓN Y FUGA,3
ANCASH,2020,COLISIÓN,0
ANCASH,2020,OTRO,225
ANCASH,2021,ATROPELLO,230
ANCASH,2021,ATROPELLO Y FUGA,33
ANCASH,2021,CHOQUE,788
ANCASH,2021,CHOQUE Y FUGA,203
ANCASH,2021,VOLCADURA,46
ANCASH,2021,CAIDA DE PASAJERO,5
